"sampleobscore_id";"category_key"
33069;"Pesticides"
33070;"Lab markers for cardiometabolic health and metabolic diseases"
33073;"Pesticides"
33349;"Liver function"
33348;"Liver function"
32780;"Herbicides"
32773;"Pesticides"
33091;"Blood and blood composition"
33071;"Blood and blood composition"
33072;"Blood and blood composition"
32717;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32809;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32850;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33096;"Flame retardants"
33461;"Flame retardants"
33098;"Flame retardants"
33099;"Flame retardants"
33100;"Flame retardants"
32811;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33101;"Pesticides"
33101;"Organochlorine compounds (OCs)"
33102;"Flame retardants"
33090;"Blood and blood composition"
33076;"Blood Lipids and lipid transport proteins"
32920;"Flame retardants"
32998;"Blood and blood composition"
33095;"Parabens"
33092;"Pesticides"
32782;"Aprotic solvents"
33089;"Metals"
32985;"Mycotoxins"
33177;"Per-/poly-fluorinated compounds (PFASs)"
33236;"Metals"
33077;"Epigenetic markers"
33078;"Epigenetic markers"
33079;"Epigenetic markers"
33080;"Epigenetic markers"
33081;"Epigenetic markers"
33082;"Epigenetic markers"
33083;"Epigenetic markers"
33084;"Epigenetic markers"
33085;"Epigenetic markers"
33086;"Thyroid hormones"
33087;"Thyroid hormones"
32783;"Aprotic solvents"
32836;"Aprotic solvents"
32837;"Aprotic solvents"
32986;"Organochlorine compounds (OCs)"
32987;"Organochlorine compounds (OCs)"
33109;"Organochlorine compounds (OCs)"
33105;"UV-filters (benzophenones)"
32694;"Dioxins"
32694;"Organochlorine compounds (OCs)"
32781;"Herbicides"
33104;"Inflammation and immunity"
33088;"Mycotoxins"
32628;"Metals"
33120;"Blood and blood composition"
33124;"Cytokines"
33124;"Inflammation and immunity"
33111;"Inflammation and immunity"
33112;"Inflammation and immunity"
33113;"Inflammation and immunity"
33126;"Cytokines"
33126;"Inflammation and immunity"
33127;"Cytokines"
33127;"Inflammation and immunity"
33128;"Cytokines"
33128;"Inflammation and immunity"
33129;"Cytokines"
33129;"Inflammation and immunity"
33130;"Inflammation and immunity"
33130;"Cytokines"
33131;"Cytokines"
33131;"Inflammation and immunity"
33125;"Inflammation and immunity"
33114;"Pesticides"
33117;"Pesticides"
32995;"Pesticides"
33136;"UV-filters (benzophenones)"
33122;"Steroid/Sex hormones"
33123;"Metabolic hormones"
33132;"Essential elements"
32997;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32822;"Anilines and MOCA"
32771;"Pesticides (carbamate)"
32712;"Herbicides"
33137;"Parabens"
33133;"Metals"
33135;"Parabens"
32800;"Herbicides"
33341;"Reproductive and metabolic health outcomes"
33342;"Reproductive and metabolic health outcomes"
33343;"Reproductive and metabolic health outcomes"
33344;"Reproductive and metabolic health outcomes"
33138;"<TODO: nog aan te vullen effect>"
33146;"Per-/poly-fluorinated compounds (PFASs)"
33144;"Per-/poly-fluorinated compounds (PFASs)"
33145;"Per-/poly-fluorinated compounds (PFASs)"
33143;"Per-/poly-fluorinated compounds (PFASs)"
33148;"Per-/poly-fluorinated compounds (PFASs)"
33150;"Per-/poly-fluorinated compounds (PFASs)"
33151;"Per-/poly-fluorinated compounds (PFASs)"
33149;"Per-/poly-fluorinated compounds (PFASs)"
33153;"Per-/poly-fluorinated compounds (PFASs)"
33152;"Per-/poly-fluorinated compounds (PFASs)"
33155;"Per-/poly-fluorinated compounds (PFASs)"
33154;"Per-/poly-fluorinated compounds (PFASs)"
33156;"Per-/poly-fluorinated compounds (PFASs)"
33158;"Per-/poly-fluorinated compounds (PFASs)"
33157;"Per-/poly-fluorinated compounds (PFASs)"
33147;"Per-/poly-fluorinated compounds (PFASs)"
33159;"Per-/poly-fluorinated compounds (PFASs)"
33160;"Per-/poly-fluorinated compounds (PFASs)"
33161;"Per-/poly-fluorinated compounds (PFASs)"
33162;"Per-/poly-fluorinated compounds (PFASs)"
33139;"Blood Lipids and lipid transport proteins"
33141;"Metabolic hormones"
33142;"Blood and blood composition"
33226;"Steroid/Sex hormones"
33225;"Metals"
33387;"Epigenetic markers"
33121;"Blood and blood composition"
33075;"Blood Lipids and lipid transport proteins"
32943;"Blood Lipids and lipid transport proteins"
32629;"Blood Lipids and lipid transport proteins"
32630;"Per-/poly-fluorinated compounds (PFASs)"
32631;"Per-/poly-fluorinated compounds (PFASs)"
33106;"Property of soil"
33505;"Blood and blood composition"
33107;"Blood and blood composition"
32872;"Pesticides"
33235;"Volatile Organic Compounds (VOCs)"
32788;"Glycol ethers"
33284;"Lab markers for cardiometabolic health and metabolic diseases"
33278;"Pesticides"
33262;"Phthalates"
33234;"Lab markers for cardiometabolic health and metabolic diseases"
33110;"Blood and blood composition"
33116;"Anilines and MOCA"
33232;"Blood and blood composition"
33263;"Phthalates"
33261;"Phthalates"
33245;"Phthalates"
32983;"DINCH"
32844;"Phthalates"
32827;"Pesticides"
32765;"Pesticides"
33259;"Phthalates"
33233;"Blood and blood composition"
32818;"Anilines and MOCA"
32818;"Diisocyanates"
33242;"Cell ageing"
32763;"Glycol ethers"
33251;"Phthalates"
33252;"Phthalates"
32728;"Phthalates"
33264;"Phthalates"
33178;"Per-/poly-fluorinated compounds (PFASs)"
33183;"Per-/poly-fluorinated compounds (PFASs)"
33168;"Per-/poly-fluorinated compounds (PFASs)"
33241;"Parabens"
33238;"Anilines and MOCA"
33108;"Metals"
32747;"Kidney function"
33119;"Metals"
32633;"Metals"
33265;"Phthalates"
33260;"Phthalates"
32984;"DINCH"
32845;"Phthalates"
33258;"Phthalates"
33267;"Phthalates"
33277;"Phthalates"
32865;"DINCH"
33270;"Phthalates"
33268;"Phthalates"
33266;"Phthalates"
33345;"Flame retardants"
33285;"Musks"
33280;"Metals"
33269;"Phthalates"
33230;"Metals"
32722;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33271;"Phthalates"
33310;"Genotoxicity"
33272;"Phthalates"
33273;"Phthalates"
33309;"Genotoxicity"
33275;"Phthalates"
33243;"Metals"
32817;"Anilines and MOCA"
32864;"DINCH"
33506;"Blood and blood composition"
33279;"Blood and blood composition"
32846;"Phthalates"
33274;"Phthalates"
32608;"Blood and blood composition"
33281;"Pesticides"
33118;"Glycol ethers"
32723;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33256;"Phthalates"
33282;"Pesticides"
33276;"Phthalates"
33286;"Musks"
33287;"Pesticides"
33297;"Anilines and MOCA"
33303;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33296;"Anilines and MOCA"
33305;"Mycotoxins"
33048;"Blood and blood composition"
33304;"Blood and blood composition"
33180;"Per-/poly-fluorinated compounds (PFASs)"
33500;"Blood and blood composition"
33306;"Blood and blood composition"
33065;"Per-/poly-fluorinated compounds (PFASs)"
33186;"Metals"
32851;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32731;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32848;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32824;"Pesticides"
33308;"Mycotoxins"
33301;"Aprotic solvents"
33181;"Per-/poly-fluorinated compounds (PFASs)"
33302;"Aprotic solvents"
33316;"Flame retardants"
33317;"Dioxins"
33317;"Organochlorine compounds (OCs)"
33321;"Anilines and MOCA"
33322;"Anilines and MOCA"
32767;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32810;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32777;"Flame retardants"
33248;"Phthalates"
33247;"Phthalates"
32726;"Phthalates"
32772;"Phthalates"
32838;"Phthalates"
32804;"Phthalates"
32839;"Phthalates"
33254;"Phthalates"
32721;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32916;"Flame retardants"
32989;"Flame retardants"
32814;"Flame retardants"
33319;"UV-filters (benzophenones)"
32710;"Phthalates"
32718;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32720;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32678;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32719;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32706;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32708;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33311;"Pesticides"
33312;"Pesticides"
33320;"Property of soil"
33324;"Property of urine"
33313;"Mycotoxins"
33315;"Mycotoxins"
33323;"Anilines and MOCA"
33325;"Pesticides"
33325;"Organochlorine compounds (OCs)"
33250;"Phthalates"
33249;"Phthalates"
32727;"Phthalates"
32841;"Phthalates"
32840;"Phthalates"
33255;"Phthalates"
33485;"Cell growth and cancer markers"
32791;"Glycol ethers"
33326;"Anilines and MOCA"
33333;"Pesticides"
33334;"Pesticides"
33335;"Mycotoxins"
33140;"Metals"
33097;"Flame retardants"
33215;"Flame retardants"
33337;"Flame retardants"
33338;"Flame retardants"
33371;"Organochlorine compounds (OCs)"
33372;"Organochlorine compounds (OCs)"
33373;"Organochlorine compounds (OCs)"
33374;"Organochlorine compounds (OCs)"
33375;"Organochlorine compounds (OCs)"
33376;"Organochlorine compounds (OCs)"
33377;"Organochlorine compounds (OCs)"
33378;"Organochlorine compounds (OCs)"
33379;"Organochlorine compounds (OCs)"
33380;"Organochlorine compounds (OCs)"
33381;"Organochlorine compounds (OCs)"
33382;"Organochlorine compounds (OCs)"
33383;"Organochlorine compounds (OCs)"
33384;"Organochlorine compounds (OCs)"
33385;"Organochlorine compounds (OCs)"
33386;"Organochlorine compounds (OCs)"
33347;"Organochlorine compounds (OCs)"
33388;"Organochlorine compounds (OCs)"
33389;"Organochlorine compounds (OCs)"
33390;"Organochlorine compounds (OCs)"
33391;"Organochlorine compounds (OCs)"
33392;"Organochlorine compounds (OCs)"
33393;"Organochlorine compounds (OCs)"
33394;"Organochlorine compounds (OCs)"
33395;"Organochlorine compounds (OCs)"
33396;"Organochlorine compounds (OCs)"
33397;"Organochlorine compounds (OCs)"
33398;"Organochlorine compounds (OCs)"
33399;"Organochlorine compounds (OCs)"
33400;"Organochlorine compounds (OCs)"
33401;"Organochlorine compounds (OCs)"
33402;"Organochlorine compounds (OCs)"
32681;"Organochlorine compounds (OCs)"
33403;"Organochlorine compounds (OCs)"
33283;"Organochlorine compounds (OCs)"
33405;"Organochlorine compounds (OCs)"
33406;"Organochlorine compounds (OCs)"
33407;"Organochlorine compounds (OCs)"
33408;"Organochlorine compounds (OCs)"
33409;"Organochlorine compounds (OCs)"
33410;"Organochlorine compounds (OCs)"
33411;"Organochlorine compounds (OCs)"
33412;"Organochlorine compounds (OCs)"
33413;"Organochlorine compounds (OCs)"
33414;"Organochlorine compounds (OCs)"
33415;"Organochlorine compounds (OCs)"
33416;"Organochlorine compounds (OCs)"
33417;"Organochlorine compounds (OCs)"
32699;"Organochlorine compounds (OCs)"
32699;"Dioxins"
32697;"Organochlorine compounds (OCs)"
32697;"Dioxins"
32701;"Dioxins"
32701;"Organochlorine compounds (OCs)"
32738;"Furans"
32698;"Furans"
32700;"Furans"
32702;"Furans"
32736;"Furans"
32695;"Furans"
32696;"Furans"
33318;"Furans"
32742;"Furans"
32704;"Furans"
33330;"Anilines and MOCA"
33339;"Pesticides"
33329;"Metals"
32823;"Anilines and MOCA"
32703;"Dioxins"
32703;"Organochlorine compounds (OCs)"
33340;"Parabens"
32638;"Per-/poly-fluorinated compounds (PFASs)"
33331;"Anilines and MOCA"
33194;"Per-/poly-fluorinated compounds (PFASs)"
33193;"Per-/poly-fluorinated compounds (PFASs)"
33195;"Per-/poly-fluorinated compounds (PFASs)"
33197;"Per-/poly-fluorinated compounds (PFASs)"
33200;"Per-/poly-fluorinated compounds (PFASs)"
33199;"Per-/poly-fluorinated compounds (PFASs)"
33198;"Per-/poly-fluorinated compounds (PFASs)"
33196;"Per-/poly-fluorinated compounds (PFASs)"
33190;"Per-/poly-fluorinated compounds (PFASs)"
33187;"Per-/poly-fluorinated compounds (PFASs)"
33184;"Per-/poly-fluorinated compounds (PFASs)"
33167;"Per-/poly-fluorinated compounds (PFASs)"
33202;"Per-/poly-fluorinated compounds (PFASs)"
