"sampleobsbase_id";"sampleobsbase_relatedto_id";"relation"
36456;36455;"parentcompound"
36422;36455;"parentcompound"
36400;36455;"parentcompound"
36318;36565;"parentcompound"
36245;36565;"parentcompound"
35887;35887;"parentcompound"
35888;35888;"parentcompound"
35889;35889;"parentcompound"
35890;35890;"parentcompound"
35891;35891;"parentcompound"
35892;35892;"parentcompound"
35893;35893;"parentcompound"
35894;35894;"parentcompound"
35895;35895;"parentcompound"
35896;35896;"parentcompound"
35897;35897;"parentcompound"
35898;35898;"parentcompound"
35899;35899;"parentcompound"
35900;35900;"parentcompound"
35901;35901;"parentcompound"
35902;35902;"parentcompound"
35903;35903;"parentcompound"
35904;35904;"parentcompound"
35905;35905;"parentcompound"
35906;35906;"parentcompound"
36183;36558;"parentcompound"
36180;36558;"parentcompound"
36186;36558;"parentcompound"
36187;36558;"parentcompound"
36184;36558;"parentcompound"
36181;36558;"parentcompound"
36194;36558;"parentcompound"
36182;36558;"parentcompound"
36196;36558;"parentcompound"
36193;36558;"parentcompound"
36185;36558;"parentcompound"
36199;36558;"parentcompound"
36200;36558;"parentcompound"
36197;36558;"parentcompound"
36189;36558;"parentcompound"
36203;36558;"parentcompound"
36204;36558;"parentcompound"
36205;36558;"parentcompound"
36206;36558;"parentcompound"
36207;36558;"parentcompound"
36195;36558;"parentcompound"
36209;36558;"parentcompound"
36210;36558;"parentcompound"
36198;36558;"parentcompound"
36212;36558;"parentcompound"
36213;36558;"parentcompound"
36201;36558;"parentcompound"
36215;36558;"parentcompound"
36216;36558;"parentcompound"
36217;36558;"parentcompound"
36218;36558;"parentcompound"
36219;36558;"parentcompound"
36220;36558;"parentcompound"
36221;36558;"parentcompound"
36222;36558;"parentcompound"
36223;36558;"parentcompound"
36224;36558;"parentcompound"
36225;36558;"parentcompound"
36226;36558;"parentcompound"
36191;36558;"parentcompound"
36188;36558;"parentcompound"
36202;36558;"parentcompound"
36190;36558;"parentcompound"
36208;36558;"parentcompound"
36192;36558;"parentcompound"
36214;36558;"parentcompound"
36211;36558;"parentcompound"
36324;36583;"parentcompound"
36321;36321;"parentcompound"
36407;36457;"parentcompound"
36457;36457;"parentcompound"
36249;36567;"parentcompound"
36070;36070;"parentcompound"
35946;35959;"parentcompound"
35960;35959;"parentcompound"
35959;35959;"parentcompound"
36071;36071;"parentcompound"
35907;35907;"parentcompound"
36072;36072;"parentcompound"
36073;36073;"parentcompound"
36074;36074;"parentcompound"
36291;36575;"parentcompound"
35908;35908;"parentcompound"
35910;35910;"parentcompound"
35845;35910;"parentcompound"
36251;36569;"parentcompound"
35911;35911;"parentcompound"
36337;36594;"parentcompound"
36337;36595;"parentcompound"
36337;36596;"parentcompound"
35868;36538;"parentcompound"
36340;36597;"parentcompound"
36346;36597;"parentcompound"
35874;35913;"parentcompound"
35912;35912;"parentcompound"
35881;35914;"parentcompound"
35914;35914;"parentcompound"
35860;35914;"parentcompound"
36395;35914;"parentcompound"
35861;35914;"parentcompound"
35863;36537;"parentcompound"
35866;36396;"parentcompound"
35865;36396;"parentcompound"
35859;36396;"parentcompound"
35915;35915;"parentcompound"
35864;36535;"parentcompound"
35848;36535;"parentcompound"
35916;35916;"parentcompound"
36075;36076;"parentcompound"
36076;36076;"parentcompound"
36077;36076;"parentcompound"
36078;36076;"parentcompound"
36079;36076;"parentcompound"
36080;36076;"parentcompound"
36081;36076;"parentcompound"
36082;36076;"parentcompound"
36083;36076;"parentcompound"
36084;36076;"parentcompound"
