"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2146","Mining engineers, metallurgists and related professionals","","OC2146","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2149","Engineering professionals not elsewhere classified","","OC2149","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC215","Electrotechnology engineers","","OC215","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2151","Electrical engineers","","OC2151","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2152","Electronics engineers","","OC2152","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2153","Telecommunications engineers","","OC2153","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC216","Architects, planners, surveyors and designers","","OC216","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2161","Building architects","","OC2161","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2162","Landscape architects","","OC2162","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2163","Product and garment designers","","OC2163","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2164","Town and traffic planners","","OC2164","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2165","Cartographers and surveyors","","OC2165","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2166","Graphic and multimedia designers","","OC2166","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC22","Health professionals","","OC22","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC221","Medical doctors","","OC221","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2211","Generalist medical practitioners","","OC2211","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2212","Specialist medical practitioners","","OC2212","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC222","Nursing and midwifery professionals","","OC222","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2221","Nursing professionals","","OC2221","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2222","Midwifery professionals","","OC2222","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC223","Traditional and complementary medicine professionals","","OC223","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2230","Traditional and complementary medicine professionals","","OC2230","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC224","Paramedical practitioners","","OC224","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2240","Paramedical practitioners","","OC2240","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC225","Veterinarians","","OC225","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2250","Veterinarians","","OC2250","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC226","Other health professionals","","OC226","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2261","Dentists","","OC2261","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2262","Pharmacists","","OC2262","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2263","Environmental and occupational health and hygiene professionals","","OC2263","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2264","Physiotherapists","","OC2264","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2265","Dieticians and nutritionists","","OC2265","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2266","Audiologists and speech therapists","","OC2266","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2267","Optometrists and ophthalmic opticians","","OC2267","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2269","Health professionals not elsewhere classified","","OC2269","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC23","Teaching professionals","","OC23","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC231","University and higher education teachers","","OC231","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2310","University and higher education teachers","","OC2310","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC232","Vocational education teachers","","OC232","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2320","Vocational education teachers","","OC2320","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC233","Secondary education teachers","","OC233","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2330","Secondary education teachers","","OC2330","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC234","Primary school and early childhood teachers","","OC234","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2341","Primary school teachers","","OC2341","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2342","Early childhood educators","","OC2342","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC235","Other teaching professionals","","OC235","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2351","Education methods specialists","","OC2351","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2352","Special needs teachers","","OC2352","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2353","Other language teachers","","OC2353","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2354","Other music teachers","","OC2354","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2355","Other arts teachers","","OC2355","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2356","Information technology trainers","","OC2356","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2359","Teaching professionals not elsewhere classified","","OC2359","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC24","Business and administration professionals","","OC24","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC241","Finance professionals","","OC241","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2411","Accountants","","OC2411","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2412","Financial and investment advisers","","OC2412","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2413","Financial analysts","","OC2413","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC242","Administration professionals","","OC242","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2421","Management and organization analysts","","OC2421","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2422","Policy administration professionals","","OC2422","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2423","Personnel and careers professionals","","OC2423","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2424","Training and staff development professionals","","OC2424","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC243","Sales, marketing and public relations professionals","","OC243","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2431","Advertising and marketing professionals","","OC2431","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2432","Public relations professionals","","OC2432","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2433","Technical and medical sales professionals (excluding ICT)","","OC2433","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2434","Information and communications technology sales professionals","","OC2434","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC25","Information and communications technology professionals","","OC25","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC251","Software and applications developers and analysts","","OC251","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2511","Systems analysts","","OC2511","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2512","Software developers","","OC2512","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2513","Web and multimedia developers","","OC2513","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2514","Applications programmers","","OC2514","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2519","Software and applications developers and analysts not elsewhere classified","","OC2519","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC252","Database and network professionals","","OC252","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2521","Database designers and administrators","","OC2521","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2522","Systems administrators","","OC2522","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2523","Computer network professionals","","OC2523","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2529","Database and network professionals not elsewhere classified","","OC2529","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC26","Legal, social and cultural professionals","","OC26","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC261","Legal professionals","","OC261","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2611","Lawyers","","OC2611","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2612","Judges","","OC2612","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2619","Legal professionals not elsewhere classified","","OC2619","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC262","Librarians, archivists and curators","","OC262","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2621","Archivists and curators","","OC2621","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2622","Librarians and related information professionals","","OC2622","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC263","Social and religious professionals","","OC263","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2631","Economists","","OC2631","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2632","Sociologists, anthropologists and related professionals","","OC2632","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2633","Philosophers, historians and political scientists","","OC2633","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2634","Psychologists","","OC2634","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2635","Social work and counselling professionals","","OC2635","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2636","Religious professionals","","OC2636","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC264","Authors, journalists and linguists","","OC264","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2641","Authors and related writers","","OC2641","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2642","Journalists","","OC2642","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2643","Translators, interpreters and other linguists","","OC2643","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC265","Creative and performing artists","","OC265","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2651","Visual artists","","OC2651","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2652","Musicians, singers and composers","","OC2652","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2653","Dancers and choreographers","","OC2653","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2654","Film, stage and related directors and producers","","OC2654","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2655","Actors","","OC2655","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2656","Announcers on radio, television and other media","","OC2656","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC2659","Creative and performing artists not elsewhere classified","","OC2659","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3","Technicians and associate professionals","","OC3","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC31","Science and engineering associate professionals","","OC31","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC311","Physical and engineering science technicians","","OC311","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3111","Chemical and physical science technicians","","OC3111","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3112","Civil engineering technicians","","OC3112","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3113","Electrical engineering technicians","","OC3113","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3114","Electronics engineering technicians","","OC3114","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3115","Mechanical engineering technicians","","OC3115","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3116","Chemical engineering technicians","","OC3116","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3117","Mining and metallurgical technicians","","OC3117","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3118","Draughtspersons","","OC3118","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3119","Physical and engineering science technicians not elsewhere classified","","OC3119","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC312","Mining, manufacturing and construction supervisors","","OC312","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3121","Mining supervisors","","OC3121","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3122","Manufacturing supervisors","","OC3122","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3123","Construction supervisors","","OC3123","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC313","Process control technicians","","OC313","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3131","Power production plant operators","","OC3131","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3132","Incinerator and water treatment plant operators","","OC3132","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3133","Chemical processing plant controllers","","OC3133","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3134","Petroleum and natural gas refining plant operators","","OC3134","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3135","Metal production process controllers","","OC3135","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3139","Process control technicians not elsewhere classified","","OC3139","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC314","Life science technicians and related associate professionals","","OC314","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3141","Life science technicians (excluding medical)","","OC3141","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3142","Agricultural technicians","","OC3142","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3143","Forestry technicians","","OC3143","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC315","Ship and aircraft controllers and technicians","","OC315","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3151","Ships' engineers","","OC3151","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3152","Ships' deck officers and pilots","","OC3152","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3153","Aircraft pilots and related associate professionals","","OC3153","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3154","Air traffic controllers","","OC3154","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3155","Air traffic safety electronics technicians","","OC3155","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC32","Health associate professionals","","OC32","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC321","Medical and pharmaceutical technicians","","OC321","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3211","Medical imaging and therapeutic equipment technicians","","OC3211","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3212","Medical and pathology laboratory technicians","","OC3212","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3213","Pharmaceutical technicians and assistants","","OC3213","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3214","Medical and dental prosthetic technicians","","OC3214","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC322","Nursing and midwifery associate professionals","","OC322","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3221","Nursing associate professionals","","OC3221","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3222","Midwifery associate professionals","","OC3222","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC323","Traditional and complementary medicine associate professionals","","OC323","valid","2013-02-26"
"http://dd.eionet.europa.eu/vocabulary/eurostat/isco08/OC3230","Traditional and complementary medicine associate professionals","","OC3230","valid","2013-02-26"
